sID,dR,dI,gameLength,choice,RT
1,8,0,5,1,0.4391
1,-12,0,5,2,0.3736
1,-8,0,5,1,0.5834
1,-4,0,10,1,0.5786
1,-8,-1,5,2,0.4898
1,-4,0,10,1,0.5603
1,8,-1,10,1,0.4982
1,20,1,10,1,0.4047
1,4,-1,10,2,0.5855
1,30,0,10,1,0.321
1,12,0,5,2,0.4721
1,-8,1,10,2,0.5317
1,-4,0,10,2,0.9435
1,-20,1,10,1,0.5808
1,-4,0,10,1,0.5153
1,-4,-1,10,2,0.5491
1,8,0,10,1,0.7048
1,30,1,10,1,0.2875
1,4,0,10,1,0.6505
1,-20,-1,5,2,0.5243
1,-12,-1,10,2,0.5678
1,-20,-1,5,2,0.6016
1,8,1,10,1,0.655
1,-20,0,5,2,0.6752
1,30,0,5,1,0.4705
1,-20,0,10,2,0.4936
1,-8,-1,10,2,0.7386
1,-4,0,5,2,0.504
1,4,0,10,2,0.5176
1,20,0,5,1,0.3904
1,8,0,5,1,0.5572
1,-20,-1,10,2,0.5152
1,30,0,10,1,0.379
1,8,0,10,1,0.7065
1,-4,1,10,1,0.5344
1,4,-1,10,1,0.5863
1,20,0,5,1,0.6056
1,-12,0,10,1,0.6264
1,20,0,10,1,0.4933
1,-4,0,5,1,0.5695
1,4,1,5,2,0.5871
1,8,0,5,1,0.4716
1,-20,-1,10,2,0.6141
1,-30,1,5,2,0.3126
1,-8,0,10,1,0.6938
1,8,0,10,2,0.5372
1,4,0,10,1,0.7351
1,30,0,5,1,0.2867
1,4,0,5,1,0.8861
1,-30,0,5,2,0.4358
1,20,-1,5,1,0.5067
1,20,0,10,1,0.4843
1,-20,1,10,2,0.4414
1,12,-1,5,1,0.5153
1,-12,0,10,2,0.4882
1,12,-1,10,2,0.5781
1,12,0,10,2,0.8236
1,-12,-1,5,2,0.8843
1,-12,1,10,2,0.5223
1,-12,0,10,2,0.5217
1,-12,0,5,2,0.3874
1,8,1,5,2,0.7385
1,12,0,5,1,0.7432
1,12,1,10,1,0.7439
1,-12,-1,10,2,0.5334
1,4,-1,10,1,0.6326
1,4,1,10,1,0.5862
1,4,0,10,2,0.7147
1,-12,1,10,2,0.7011
1,-30,-1,5,2,0.3399
1,-30,0,5,2,0.4266
1,12,0,5,1,0.8182
1,-12,0,5,2,0.4069
1,8,-1,5,1,0.7208
1,4,1,10,1,0.9063
1,4,-1,5,1,1.3249
1,4,0,5,1,0.5037
1,-30,0,10,2,0.3371
1,4,1,5,1,0.6431
1,12,0,5,1,0.6428
1,12,1,5,2,0.4497
1,12,-1,5,1,0.5924
1,-4,0,5,2,0.7404
1,-30,0,10,2,0.305
1,-12,0,5,2,0.6619
1,30,-1,10,1,0.3637
1,12,1,5,1,0.6976
1,-20,0,5,2,0.367
1,20,1,10,1,0.6235
1,12,0,5,1,0.5605
1,-8,0,10,2,0.9416
1,12,0,5,1,0.5754
1,30,-1,5,1,0.4237
1,-30,-1,10,2,0.578
1,-12,0,10,2,0.6982
1,20,0,5,1,0.4723
1,12,-1,10,1,0.4006
1,-12,0,10,2,0.5611
1,-20,1,10,2,0.4374
1,30,0,5,1,0.4392
1,30,-1,10,1,0.3111
1,8,0,10,2,0.6521
1,-30,-1,5,2,0.3981
1,12,1,5,1,0.8197
1,12,0,10,2,0.6272
1,-4,0,5,1,0.466
1,-20,1,10,1,0.3639
1,-12,0,5,2,0.4971
1,-8,-1,5,2,0.5429
1,-20,1,5,2,0.4871
1,20,0,10,1,0.3823
1,-12,1,5,2,0.3286
1,20,1,10,1,0.5197
1,12,0,10,1,0.4422
1,-4,0,10,1,0.9154
1,30,0,10,1,0.3906
1,-20,0,10,2,0.4306
1,-4,1,10,1,1.0843
1,-8,0,5,2,0.8763
1,30,0,5,1,0.4476
1,30,1,5,1,0.419
1,30,-1,5,1,0.3317
1,-4,-1,10,2,0.7418
1,-20,0,10,2,0.5474
1,-30,-1,10,2,0.4045
1,-12,-1,5,2,0.5587
1,20,1,10,1,0.6414
1,-30,1,10,2,0.3699
1,20,0,10,1,0.3811
1,30,-1,10,1,0.2955
1,-8,1,10,2,1.0187
1,8,-1,10,2,0.5128
1,-30,0,10,2,0.4413
1,20,1,5,1,0.4354
1,-4,-1,5,2,0.5157
1,-8,1,5,2,0.6988
1,4,-1,5,1,0.8022
