sID,dR,dI,gameLength,choice,RT
2,8,0,5,1,0.5262
2,-12,0,5,2,0.4578
2,-8,0,5,2,0.6389
2,-4,0,10,2,0.5921
2,-8,-1,5,2,0.4523
2,-4,0,10,1,0.6031
2,8,-1,10,1,0.529
2,20,1,10,1,0.7512
2,4,-1,10,2,0.7085
2,30,0,10,1,0.3194
2,12,0,5,1,0.6339
2,-8,1,10,2,0.531
2,-4,0,10,2,0.6303
2,-20,1,10,1,0.8439
2,-4,0,10,2,0.6352
2,-4,-1,10,2,0.5932
2,8,0,10,1,0.5125
2,30,1,10,1,0.5431
2,4,0,10,1,0.8537
2,-20,-1,5,2,0.339
2,-12,-1,10,2,0.5336
2,-20,-1,5,2,0.4853
2,8,1,10,2,0.5898
2,-20,0,5,2,0.5077
2,30,0,5,1,0.5834
2,-20,0,10,2,0.5112
2,-8,-1,10,2,0.559
2,-4,0,5,2,0.8103
2,4,0,10,2,0.622
2,20,0,5,1,0.5241
2,8,0,5,1,0.4439
2,-20,-1,10,2,0.6633
2,30,0,10,1,0.4209
2,8,0,10,1,0.5268
2,-4,1,10,2,0.8761
2,4,-1,10,2,0.6316
2,20,0,5,1,0.5196
2,-12,0,10,2,0.534
2,20,0,10,1,0.4997
2,-4,0,5,1,0.6644
2,4,1,5,2,0.4936
2,8,0,5,1,0.3495
2,-20,-1,10,2,0.5869
2,-30,1,5,2,0.5148
2,-8,0,10,2,0.5602
2,8,0,10,1,0.4931
2,4,0,10,1,0.5468
2,30,0,5,1,0.3657
2,4,0,5,1,0.7616
2,-30,0,5,2,0.5053
2,20,-1,5,1,0.4764
2,20,0,10,1,0.4545
2,-20,1,10,2,0.4448
2,12,-1,5,1,0.9761
2,-12,0,10,2,0.5736
2,12,-1,10,1,0.3352
2,12,0,10,1,0.4335
2,-12,-1,5,2,0.5058
2,-12,1,10,2,0.5703
2,-12,0,10,2,0.5298
2,-12,0,5,2,0.6182
2,8,1,5,1,0.7558
2,12,0,5,1,0.4548
2,12,1,10,1,0.5209
2,-12,-1,10,2,0.6057
2,4,-1,10,1,0.6701
2,4,1,10,1,0.6712
2,4,0,10,2,0.7646
2,-12,1,10,2,0.4813
2,-30,-1,5,2,0.2965
2,-30,0,5,2,0.3279
2,12,0,5,1,0.5279
2,-12,0,5,2,0.5914
2,8,-1,5,1,0.6146
2,4,1,10,2,0.625
2,4,-1,5,1,0.5832
2,4,0,5,1,0.597
2,-30,0,10,2,0.3783
2,4,1,5,1,0.5967
2,12,0,5,1,0.6263
2,12,1,5,1,0.628
2,12,-1,5,1,0.6471
2,-4,0,5,2,0.8358
2,-30,0,10,2,0.5143
2,-12,0,5,2,0.6967
2,30,-1,10,1,0.3813
2,12,1,5,1,0.7537
2,-20,0,5,2,0.6491
2,20,1,10,1,0.4769
2,12,0,5,1,0.651
2,-8,0,10,2,0.7242
2,12,0,5,1,0.5229
2,30,-1,5,1,0.4278
2,-30,-1,10,2,0.4284
2,-12,0,10,2,0.5861
2,20,0,5,1,0.3907
2,12,-1,10,1,0.6426
2,-12,0,10,2,0.5288
2,-20,1,10,2,0.4066
2,30,0,5,1,0.2734
2,30,-1,10,1,0.3027
2,8,0,10,2,0.7771
2,-30,-1,5,2,0.4896
2,12,1,5,2,0.5664
2,12,0,10,1,0.4642
2,-4,0,5,2,0.7321
2,-20,1,10,2,0.3669
2,-12,0,5,2,0.5694
2,-8,-1,5,1,0.8504
2,-20,1,5,2,0.6092
2,20,0,10,1,0.5873
2,-12,1,5,2,0.6597
2,20,1,10,1,0.5751
2,12,0,10,1,0.5005
2,-4,0,10,2,0.6138
2,30,0,10,1,0.3199
2,-20,0,10,2,0.3922
2,-4,1,10,2,0.662
2,-8,0,5,2,0.7787
2,30,0,5,1,0.2983
2,30,1,5,1,0.2965
2,30,-1,5,1,0.5194
2,-4,-1,10,2,0.5734
2,-20,0,10,2,0.3901
2,-30,-1,10,2,0.4284
2,-12,-1,5,2,0.5488
2,20,1,10,1,0.5516
2,-30,1,10,2,0.3049
2,20,0,10,1,0.5399
2,30,-1,10,1,0.2988
2,-8,1,10,1,0.5155
2,8,-1,10,1,0.7662
